hall,date,meal,food_name,serving_size,calories,total_fat,saturated_fat,carbs,protein,label_url
south,12/1/2025,Breakfast,French Fries,4 oz,125,4.7g,2.2g,19.6g,2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=141118*4
south,12/1/2025,Breakfast,Grilled Mushrooms,1 oz,16,0.3g,0g,2g,2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150319*1
south,12/1/2025,Breakfast,Grilled Onions,1 oz,13,0.3g,0g,2.4g,0.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150317*1
south,12/1/2025,Breakfast,Grilled Peppers,1 `oz,7,0.4g,0g,0.9g,0.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150318*1
south,12/1/2025,Breakfast,Guacamole,1 oz,24,2.4g,0.5g,1.4g,0.5g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220053*1
south,12/1/2025,Breakfast,Pico de Gallo,1 oz,7,0.1g,0g,1.5g,0.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220051*1
south,12/1/2025,Breakfast,Potato Hamburger Roll,1 each,123,1.9g,0g,22.6g,3.8g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=119388*1
south,12/1/2025,Breakfast,Potato Hot Dog Roll,1 each,140,1.5g,0g,27g,4g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=119387*1
south,12/1/2025,Breakfast,Shredded Lettuce,1 oz,5,0g,0g,0.9g,0.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=126332*1
south,12/1/2025,Breakfast,Sliced Red Onion,1 oz,11,0g,0g,2.6g,0.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090254*1
south,12/1/2025,Breakfast,Sliced Tomatoes,2 each,7,0.1g,,1.5g,0.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150314*2
south,12/1/2025,Breakfast,Spicy Brown Mustard,1 oz,148,9.1g,0.5g,11g,7.9g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220110*1
south,12/1/2025,Breakfast,Buffalo Chicken Quesadilla,1 each,453,17.5g,7.4g,57.5g,20g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=126315*1
south,12/1/2025,Breakfast,Cheese Quesadilla,1 each,667,37.6g,22.2g,55.5g,30.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=126386*1
